match_id,player,Date,avg_bp_clutch_save_pct,avg_bp_first_in_pct,avg_bpo_conv_pct,avg_bpo_ue_pct
19780108-M-Tour_Finals-F-Bjorn_Borg-Jimmy_Connors,Bjorn Borg,1978-01-08,0.65727969348659,0.5065021410863196,0.5303030303030304,0.09217171717171717
19780108-M-Tour_Finals-F-Bjorn_Borg-Jimmy_Connors,Jimmy Connors,1978-01-08,0.5871669000115849,0.6361429868394219,0.45991785991785994,0.19471417471417468
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Bjorn Borg,1978-01-25,0.6145813917365641,0.5082549841931181,0.5097962382445141,0.08637016718913271
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,1978-01-25,,,,
19780611-M-Roland_Garros-F-Bjorn_Borg-Guillermo_Vilas,Bjorn Borg,1978-06-11,0.638331780055918,0.5532706540211612,0.499503657262278,0.12742946708463948
19780611-M-Roland_Garros-F-Bjorn_Borg-Guillermo_Vilas,Guillermo Vilas,1978-06-11,0.5797817047817049,0.5722453222453222,0.37042925278219396,0.1091679915209327
19780715-M-Forest_Hills_WCT-SF-Ilie_Nastase-John_Mcenroe,Ilie Nastase,1978-07-15,0.6506578947368421,0.6532894736842105,0.46285714285714286,0.19428571428571428
19780715-M-Forest_Hills_WCT-SF-Ilie_Nastase-John_Mcenroe,John Mcenroe,1978-07-15,,,,
19790107-M-Australian_Open-F-John_Marks-Guillermo_Vilas,Guillermo Vilas,1979-01-07,0.4837433587433588,0.5898302148302148,0.36289486417363653,0.246691704492216
19790107-M-Australian_Open-F-John_Marks-Guillermo_Vilas,John Marks,1979-01-07,,,,
19790114-M-Masters-F-Arthur_Ashe-John_Mcenroe,Arthur Ashe,1979-01-14,0.6930394167236272,0.6357598541809067,0.28073870573870574,0.25607448107448105
19790114-M-Masters-F-Arthur_Ashe-John_Mcenroe,John Mcenroe,1979-01-14,0.6111111111111112,0.6666666666666666,0.41935483870967744,0.1935483870967742
19790922-M-Palermo-SF-Corrado_Barazzutti-Adriano_Panatta,Adriano Panatta,1979-09-22,0.4090909090909091,0.6590909090909091,0.3333333333333333,0.1568627450980392
19790922-M-Palermo-SF-Corrado_Barazzutti-Adriano_Panatta,Corrado Barazzutti,1979-09-22,,,,
19791005-M-Davis_Cup_SF-RR-Ivan_Lendl-Adriano_Panatta,Adriano Panatta,1979-10-05,0.5045454545454545,0.6295454545454545,0.2857142857142857,0.19747899159663865
19791005-M-Davis_Cup_SF-RR-Ivan_Lendl-Adriano_Panatta,Ivan Lendl,1979-10-05,,,,
19800112-M-Tour_Finals-SF-Vitas_Gerulaitis-Jimmy_Connors,Jimmy Connors,1980-01-12,0.5812597729981599,0.650808810871932,0.4688504688504689,0.1937933437933438
19800112-M-Tour_Finals-SF-Vitas_Gerulaitis-Jimmy_Connors,Vitas Gerulaitis,1980-01-12,,,,
19800113-M-Tour_Finals-F-Vitas_Gerulaitis-Bjorn_Borg,Bjorn Borg,1980-01-13,0.6406388022205114,0.5552617769016922,0.5343086032741206,0.12008011145942181
19800113-M-Tour_Finals-F-Vitas_Gerulaitis-Bjorn_Borg,Vitas Gerulaitis,1980-01-13,0.6129032258064516,0.5161290322580645,0.36,0.12
19800606-M-Roland_Garros-SF-Bjorn_Borg-Harold_Solomon,Bjorn Borg,1980-06-06,0.6484978553194445,0.5628951876548667,0.535900880728467,0.11591282280937452
19800606-M-Roland_Garros-SF-Bjorn_Borg-Harold_Solomon,Harold Solomon,1980-06-06,,,,
19800608-M-Roland_Garros-F-Vitas_Gerulaitis-Bjorn_Borg,Bjorn Borg,1980-06-08,0.6682420750174172,0.5691461924238148,0.532937660881311,0.1288627443484466
19800608-M-Roland_Garros-F-Vitas_Gerulaitis-Bjorn_Borg,Vitas Gerulaitis,1980-06-08,0.533724340175953,0.5459433040078201,0.33217391304347826,0.16869565217391302
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,1980-07-05,0.6721822559825602,0.5840970270104691,0.5444294359349028,0.12127866837707041
