player,match_id,avg_first_serve_pct,avg_first_serve_won_pct,avg_second_serve_won_pct,avg_ace_pct,avg_df_pct,avg_return_won_pct,avg_winners_per_pt,avg_ue_per_pt,avg_winners_fh_ratio,avg_bp_save_pct,avg_bp_clutch_save_pct,avg_bp_first_in_pct,avg_bpo_conv_pct,avg_bpo_ue_pct,avg_srv_win_1_3,avg_srv_win_4_6,avg_srv_win_7plus,avg_ret_win_1_3,avg_ret_win_4_6,avg_ret_win_7plus,elo,elo_surface
Aaron Krickstein,19950127-M-Australian_Open-SF-Aaron_Krickstein-Andre_Agassi,0.5781089373630895,0.6412122874311753,0.4499612990600393,0.048492876765357004,0.018292212407351,0.34042806483784155,0.1149563795293218,0.14306236704552516,0.4083098784160696,0.504073902288188,0.5486917074849996,0.591705161885429,0.34640074645533303,0.10885677534581904,0.4750897406677848,0.39265694383448,0.4742121224740817,0.44761904761904764,0.4489795918367347,0.5283018867924528,1559.2111783085384,1549.7701038572827
Abedallah Shelbayh,20230221-M-Doha-R32-Soon_Woo_Kwon-Abedallah_Shelbayh,0.6190476190476191,0.5128205128205128,0.5833333333333334,0.015873015873015872,0.015873015873015872,0.2711864406779661,0.18032786885245902,0.1885245901639344,0.7272727272727273,0.6666666666666666,0.5806451612903226,0.5806451612903226,0.25925925925925924,0.1111111111111111,,,,0.36231884057971014,0.42424242424242425,0.55,1482.3916980581707,1482.4072798365114
Adam Pavlasek,20190729-M-Liberec_CH-R64-Karim_Mohamed_Maamoun-Adam_Pavlasek,0.5520094562647754,0.7159498207885304,0.6375,0.09193590753874442,0.024691358024691357,0.41990049751243785,0.15297423591816114,0.2254988633493306,0.5,0.5555555555555556,0.7075289575289576,0.4835907335907336,0.36813186813186816,0.2582417582417582,0.524390243902439,0.3783783783783784,0.41379310344827586,0.5892857142857143,0.5666666666666667,0.6666666666666666,1495.162413712089,1512.6014413460653
Adam Walton,20250617-M-Queens_Club-R32-Adam_Walton-Carlos_Alcaraz,0.6304347826086957,0.6724137931034483,0.47058823529411764,0.010869565217391304,0.0,0.35964912280701755,0.0825242718446602,0.11165048543689321,0.6470588235294118,0.6153846153846154,0.7096774193548387,0.5806451612903226,0.32,0.04,,,,0.4411764705882353,0.5714285714285714,0.3958333333333333,1484.3712492057616,1500.0
Adolfo Daniel Vallejo,20260312-M-Santiago_CH-R16-Adolfo_Daniel_Vallejo-Felipe_Meligeni_Alves,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Adrian Andreev,20250125-M-Oeiras_3_CH-R32-Clement_Chidekh-Adrian_Andreev,0.674391031031502,0.6581340318990099,0.5445870731585017,0.03373859914262024,0.02589692625240366,0.4063220278667433,0.14290866482568507,0.17180311557350988,0.6863190730837789,0.473015873015873,0.5921932490801473,0.7023148888770389,0.3467589119502098,0.11867522436164597,0.5196078431372549,0.45,0.5454545454545454,0.4768819739116769,0.545690899139175,0.5215985215985216,1484.82983750617,1518.3516794584668
Adrian Garcia,20050304-M-Davis_Cup_World_Group_R1-RR-Marat_Safin-Adrian_Garcia,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Adrian Mannarino,20260319-M-Miami_Masters-R128-Zhizhen_Zhang-Adrian_Mannarino,0.6155775189544634,0.6805395837681715,0.5092904802790046,0.06413667505581644,0.030447345829867953,0.3384272605243528,0.13567754331052717,0.18768394576365816,0.4240537018239302,0.563310976797136,0.6227473223325439,0.6075863191604093,0.33581800299919307,0.15578587624315093,0.47094764619243973,0.467266172943212,0.5273913613116291,0.47052597395994566,0.48684166619796626,0.4894829077971906,1377.6951260778806,1376.0143607606055
Adrian Voinea,20020226-M-Dubai-R32-Roger_Federer-Adrian_Voinea,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Adriano Panatta,19801205-M-Davis_Cup_World_Group_F-RR-Tomas_Smid-Adriano_Panatta,0.5932035284976461,0.6108651734738691,0.39759513561522164,0.03421545774486951,0.041871200694730104,0.385639469857655,0.16000244558571777,0.19711142977834098,0.5267676767676768,0.521494708994709,0.5787878787878787,0.6419191919191919,0.3716356107660455,0.16788454512239678,,,,0.44946473366230527,0.5344379467186485,0.3615317094579767,1454.1721796717984,1500.0
Adrien Bossel,20151123-M-Andria_CH-R32-Adrien_Bossel-Dudi_Sela,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Agustin Calleri,20030518-M-Hamburg_Masters-F-Guillermo_Coria-Agustin_Calleri,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Agustin Velotti,20160310-M-Puebla_CH-R16-Dennis_Novak-Agustin_Velotti,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Aisam Ul Haq Qureshi,20070628-M-Wimbledon-R64-Aisam_Ul_Haq_Qureshi-Marat_Safin,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Akira Santillan,20180816-M-Gwangju_CH-R16-Akira_Santillan-Karim_Mohamed_Maamoun,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Alan Mackin,20050923-M-Davis_Cup_World_Group_PO-RR-Roger_Federer-Alan_Mackin,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Albano Olivetti,20160219-M-Wroclaw_CH-QF-Albano_Olivetti-Dustin_Brown,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Albert Costa,20020609-M-Roland_Garros-F-Albert_Costa-Juan_Carlos_Ferrero,0.6645170885917465,0.6461856520889563,0.4213706576479272,0.034782035466749475,0.03786716267365654,0.36806635364541934,0.17532666046145146,0.1842414934036515,0.6342443056887326,0.49991560726854845,0.6048690562083419,0.650297189582904,0.38719606664521916,0.09414695474017508,0.4903191614936013,0.49819063652396983,0.48341593189419274,0.41367456073338427,0.3484848484848485,0.5727272727272728,1530.8432675038305,1536.314713249496
Albert Montanes,20160326-M-San_Luis_Potosi_CH-SF-Albert_Montanes-Pedja_Krstin,0.6491228070175439,0.4722222222222222,0.25,0.0,0.0489766081871345,0.30718954248366015,0.12962962962962962,0.18981481481481483,0.8115384615384615,0.4222222222222222,0.40384615384615385,0.7307692307692308,0.3446969696969697,0.041666666666666664,0.3902439024390244,0.4186046511627907,0.375,0.32142857142857145,0.2727272727272727,0.3181818181818182,1493.7270814613014,1491.6373260265486
Albert Ramos,20250526-M-Roland_Garros-R128-Casper_Ruud-Albert_Ramos,0.6416946801073528,0.6417988935356099,0.4823438744277924,0.02832347108666515,0.030850434980351296,0.33766446853664583,0.12520368206074248,0.18907894488038768,0.6272304627236174,0.5243171813464129,0.5756612558558137,0.6417679408566991,0.3251991110858102,0.14928594269609724,0.46721345956420585,0.5177100230548507,0.46283751347336577,0.4504299162598031,0.46219149596713094,0.4876966070698921,1376.4760100437395,1397.84360726557
Alberto Berasategui,19980128-M-Australian_Open-QF-Marcelo_Rios-Alberto_Berasategui,0.8395986433013001,0.714171015656363,0.5965909090909091,0.0,0.012507066139061617,0.37850361663652804,0.18389724310776942,0.22330827067669173,0.6880952380952381,0.7,0.7015957446808511,0.8079787234042553,0.43229166666666663,0.24479166666666666,0.5394736842105263,0.7380952380952381,0.5,0.4578313253012048,0.40425531914893614,0.46938775510204084,1501.207932113394,1500.0
Alberto Mancini,19910519-M-Rome_Masters-F-Emilio_Sanchez-Alberto_Mancini,0.5855590468709087,0.704449961802903,0.57627765064836,0.03620057606703325,0.012503273108143493,0.4247901731071866,0.15295565857363608,0.19040884209423536,0.6,0.4642857142857143,0.6793750000000001,0.5925,0.36363636363636365,0.23863636363636365,0.4460431654676259,0.5901639344262295,0.627906976744186,0.5503875968992248,0.5245901639344263,0.4675324675324675,1497.5163767803117,1496.7490422804017
Alberto Martin,20040423-M-Monte_Carlo_Masters-QF-Marat_Safin-Alberto_Martin,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Alejandro Davidovich Fokina,20251029-M-Paris_Masters-R32-Alejandro_Davidovich_Fokina-Arthur_Cazaux,0.6607323765145761,0.641417518730532,0.4873500382381266,0.0369246914045755,0.02892036664067977,0.3768873643516985,0.1655475183975527,0.21628027869853686,0.4980115356828763,0.5603571655128243,0.5860475210991304,0.6399157349221064,0.36731846613174834,0.1688093457892979,0.47841747179564303,0.5164492172726144,0.5457189905561194,0.4519750194239204,0.4846656424994343,0.5188758714536529,1401.9009968394366,1410.6207454620412
Alejandro Falla,20150928-M-Pereira_CH-R16-Marcelo_Arevalo-Alejandro_Falla,0.6334380017921852,0.6639988189919172,0.4441669007396707,0.05558299202876086,0.013285088687978378,0.2558996832803826,0.1112850014129043,0.15564565592317184,0.4260348583877996,0.4547827172827173,0.6075317513192263,0.6321552827215718,0.24844180873592636,0.1854708472355531,,,,0.4336512480139864,0.397423394310116,0.4402136746422951,1448.8240656107132,1491.6851986064903
Alejandro Gonzalez,20151019-M-Santiago_CH-R32-Alejandro_Gonzalez-Carlos_Eduardo_Severino,0.49230769230769234,0.6875,0.5454545454545454,0.09230769230769231,0.07692307692307693,0.3050847457627119,0.14516129032258066,0.33064516129032256,0.3888888888888889,0.5,0.5925925925925926,0.6296296296296297,0.13636363636363635,0.45454545454545453,0.46511627906976744,0.5294117647058824,0.42857142857142855,,,,1516.0,1500.0
Alejandro Lopez Escribano,20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Alejandro Moro Canas,20240702-M-Wimbledon-R128-Alejandro_Moro_Canas-Jacob_Fearnley,0.7532467532467533,0.6551724137931034,0.3684210526315789,0.03896103896103896,0.012987012987012988,0.47368421052631576,0.15671641791044777,0.1865671641791045,0.5714285714285714,0.625,0.5641025641025641,0.7435897435897436,0.5789473684210527,0.10526315789473684,0.6545454545454545,0.5238095238095238,0.3783783783783784,,,,1514.292427129088,1500.0
Alejandro Tabilo,20260308-M-Indian_Wells_Masters-R64-Alejandro_Tabilo-Daniil_Medvedev,0.65372459090172,0.7167424321925235,0.508611860677174,0.06536253619163589,0.02732100718419227,0.34893801243384504,0.17873812468727246,0.1706685421468245,0.47099614791334987,0.6374585731728588,0.6446695149761026,0.684816307306216,0.32533561485839185,0.15838270193582316,0.5012516432165406,0.4921379802082669,0.46488339672599044,0.5078113411241244,0.539318143997947,0.5301290155856511,1644.7942766521292,1566.809003812086
Aleksandar Kovacevic,20260309-M-Indian_Wells_Masters-R32-Aleksandar_Kovacevic-Novak_Djokovic,0.5896982450704564,0.7655370054397695,0.4900190384206064,0.11767646674047065,0.04010025103326719,0.32303054042070256,0.17459228775193283,0.19362430906338732,0.3982809579324762,0.7332152695789059,0.6840313640031314,0.6426215165571462,0.3059644925651156,0.18514415900528317,0.5100768527078618,0.44274470899470897,0.48577700077700076,0.5033109358262733,0.4978872169022648,0.4668114202997924,1602.3531001453937,1601.0455694982954
Aleksandar Vukic,20250928-M-Tokyo-QF-Casper_Ruud-Aleksandar_Vukic,0.5938601462735551,0.7275258876132819,0.47349880700719144,0.11712762082293598,0.019637818208620227,0.30844208866074124,0.18640000215552827,0.18798654534640657,0.4697998522036431,0.5951394759087066,0.6117229990539307,0.5863394794881669,0.28553304795008305,0.18693409556166735,0.48801316946355155,0.44863294600136705,0.4506635647869869,0.49079939735762695,0.4512987012987013,0.5220089806027306,1492.532887477401,1509.8025143987138
