match_id,Surface,Round,Best of,p1_avg_first_serve_pct,p1_avg_first_serve_won_pct,p1_avg_second_serve_won_pct,p1_avg_ace_pct,p1_avg_df_pct,p1_avg_return_won_pct,p1_avg_winners_per_pt,p1_avg_ue_per_pt,p1_avg_winners_fh_ratio,p1_avg_bp_save_pct,p1_avg_bp_clutch_save_pct,p1_avg_bp_first_in_pct,p1_avg_bpo_conv_pct,p1_avg_bpo_ue_pct,p1_avg_srv_win_1_3,p1_avg_srv_win_4_6,p1_avg_srv_win_7plus,p1_avg_ret_win_1_3,p1_avg_ret_win_4_6,p1_avg_ret_win_7plus,p1_elo,p1_elo_surface,p2_avg_first_serve_pct,p2_avg_first_serve_won_pct,p2_avg_second_serve_won_pct,p2_avg_ace_pct,p2_avg_df_pct,p2_avg_return_won_pct,p2_avg_winners_per_pt,p2_avg_ue_per_pt,p2_avg_winners_fh_ratio,p2_avg_bp_save_pct,p2_avg_bp_clutch_save_pct,p2_avg_bp_first_in_pct,p2_avg_bpo_conv_pct,p2_avg_bpo_ue_pct,p2_avg_srv_win_1_3,p2_avg_srv_win_4_6,p2_avg_srv_win_7plus,p2_avg_ret_win_1_3,p2_avg_ret_win_4_6,p2_avg_ret_win_7plus,p2_elo,p2_elo_surface,player_1_wins?,Date,tournment,p1,p2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Clay,Q3,3,0.5899815602834089,0.7373760166764851,0.518159479715669,0.10013093929363864,0.032499187355297124,0.37698972665026,0.1784454419625633,0.15871056288360508,0.4726614929426943,0.6158651071151071,0.6575575043674219,0.5973533757999311,0.38134500993242554,0.15447931240687898,0.5311118328993156,0.5140867441525121,0.4701393754947804,0.47797387797387797,0.5485103132161956,0.5266861761426979,1738.0792059727323,1679.7834449785923,0.6248243488851947,0.7257183908045978,0.5607718107718108,0.07298102873396918,0.010869565217391304,0.3759991956624808,0.1422728429537127,0.18992954235651358,0.6428335644021919,0.6759259259259259,0.6441163003663003,0.674259768009768,0.405952380952381,0.17380952380952383,0.5005067567567567,0.525039745627981,0.5062611806797853,0.5503875968992248,0.5283018867924528,0.35714285714285715,1515.1954120071125,1500.0,1,2026-05-21,Roland_Garros,Jesper_De_Jong,Michael_Zheng
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Clay,F,3,0.608739057961078,0.7719348360713015,0.565164724891038,0.08833927546703563,0.025924636440315302,0.4126839443625211,0.17656480254749518,0.16686928028202297,0.4990608135022708,0.6782700396471577,0.7019944413871666,0.6151700355599057,0.4095511890942959,0.14963291562097686,0.5536124800981052,0.5453706361665615,0.5588282792785878,0.5314731043234022,0.5626145416446895,0.5598829458231411,1427.6596879150256,1473.7103374707062,0.6561367791731305,0.7342466559797121,0.549426176921294,0.07128136567049519,0.02581046118922617,0.3685728861268519,0.18047200061199375,0.15318565043131502,0.5334999625223783,0.6245762897233486,0.6786357749855388,0.659647420082546,0.3565800315602046,0.13229950666988896,0.5287979512194189,0.5209784832314166,0.5123267927296936,0.4960603125544125,0.5235753473667614,0.5181396061203754,1799.9036843272843,1780.5989039381352,0,2026-05-17,Rome_Masters,Casper_Ruud,Jannik_Sinner
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Clay,R16,3,0.6377668294021972,0.6966822693353744,0.5303082279941983,0.06351077007272805,0.04244816940393782,0.38528678853719733,0.1597068493091368,0.18130705508151412,0.5338744966169569,0.5312898463274403,0.6501695506767953,0.6400570757202999,0.3776638924101798,0.12777310726702548,0.48962584143155713,0.49589831677106666,0.5541695946631428,0.48420762446491056,0.5643217366994514,0.5412195221338973,1445.2269490576246,1500.0,0.6263359782825503,0.685951252993809,0.4859197984831069,0.05566376005197333,0.018866076627325326,0.3922463076040782,0.2005709557558296,0.19598835216485963,0.4592001589423711,0.6107867826617827,0.6570047594205772,0.6238545408513338,0.4304597608945435,0.15541223367310325,0.5138817339136612,0.4764321962759463,0.49812860848464563,0.5083333333333333,0.5641025641025641,0.45,1580.6227313879588,1533.8649553480352,0,2026-05-11,Rome_Masters,Rafael_Jodar,Learner_Tien
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Clay,R128,3,0.616675912294435,0.7014154779254621,0.5302570040921111,0.07357917833533482,0.03464746133457379,0.35278262925788656,0.20072577896159863,0.1872554784320403,0.4192705260641054,0.6203978120644786,0.6499751756301078,0.629072633893537,0.3584704541574493,0.13842731148334106,0.5022848485087292,0.5250707775122232,0.518229955407356,0.48493864930169633,0.49586773047523036,0.52858938324352,1416.4245247645674,1509.4977239183713,0.6291926853326731,0.7615290725042523,0.5310857593149574,0.08631676423131765,0.03083023628231993,0.34174189124005355,0.18348501698259825,0.16521157636796654,0.49530156458113567,0.5873348271269604,0.6807442353925166,0.6201487903551264,0.33231128965135553,0.14768131440159418,0.5239899541725948,0.5051574783957388,0.5009657387270201,0.5043971661901216,0.49335590117385414,0.4634983149502696,1730.2622560305917,1698.9849432606272,0,2026-05-07,Rome_Masters,Stefanos_Tsitsipas,Tomas_Machac
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Clay,F,3,0.6082819369928452,0.7713955152350733,0.5653856222635499,0.0879433807902181,0.025925597832855266,0.41224267928287833,0.1758806887311193,0.1672058962573262,0.4997840220710436,0.6782700396471577,0.7013232361037333,0.6152214594092613,0.4085666168539376,0.15014014584342084,0.5525043888278457,0.5446983154307643,0.5582935526780012,0.5314731043234022,0.5626145416446895,0.5598829458231411,1409.1088029146563,1459.6699738473576,0.6913983048814324,0.7459108943684116,0.5080586894034682,0.10925060749686502,0.041210527237385094,0.3580119455424541,0.19098423583563892,0.17170463891620805,0.3755738087430933,0.5818794096892836,0.6812466367367068,0.7038091937870816,0.34761225534366724,0.15452696629363316,0.5293691713859129,0.4981254626391769,0.4847686312400983,0.5119923698206409,0.5209916216887718,0.4974925750719677,1464.9771733318412,1416.9023002846204,1,2026-05-03,Madrid_Masters,Jannik_Sinner,Alexander_Zverev
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Clay,SF,3,0.6219889834896726,0.7407937266005221,0.5322786397583915,0.0760448529809763,0.037620662091094124,0.3578591593919303,0.2237490311626411,0.20983427754393227,0.4044104582275907,0.613212846691707,0.6731986223285518,0.6196706143558897,0.3614836240475242,0.1684393016206432,0.49178716941030876,0.5070198718068858,0.5078130617685966,0.5135075836389217,0.5572058179782122,0.5288202055511017,1560.8936806964987,1533.6048138715676,0.6085763002804576,0.77104311902839,0.5649895931494185,0.08794673745365716,0.025939837517882723,0.41219510503487206,0.17562063512612947,0.1671070670532933,0.5004761571927264,0.6782700396471577,0.7005907754555601,0.6150464757111068,0.40831426309939434,0.15006438513845477,0.5525043888278457,0.5446983154307643,0.5582935526780012,0.5313534890863251,0.5610919970637106,0.5604822391823964,1418.9114865449408,1472.9026360557084,1,2026-05-01,Madrid_Masters,Arthur_Fils,Jannik_Sinner
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Clay,QF,3,0.6910946691554294,0.7455243558909794,0.5082997268535461,0.10862097732446935,0.041224770702544926,0.35744339637177314,0.19092843194895875,0.17159439115856998,0.37571757932229827,0.5793756935796387,0.6806858748326974,0.7036380388053404,0.3476322670293857,0.1538703702640665,0.5270420951947137,0.4984972420705108,0.4852166871368231,0.5119923698206409,0.5209916216887718,0.4974925750719677,1449.3966782944315,1396.7353627003417,0.5760926306179399,0.6868186242397727,0.4747052061993412,0.05413392864856974,0.03441444571417864,0.3109576436727484,0.15417568933063458,0.20539522885918315,0.5127000307455452,0.5469602035391509,0.6099672873680904,0.5596762434740694,0.3046432054992113,0.16128888774238892,0.48430477371288166,0.4727031121305835,0.4066194581280788,0.45252206298464726,0.4275880339472026,0.5267594644999084,1440.2851555199638,1489.3524822546594,1,2026-04-30,Madrid_Masters,Alexander_Zverev,Flavio_Cobolli
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Clay,QF,3,0.6084217956607795,0.7711985897551816,0.5647689786904416,0.0879843608684373,0.025940857353639917,0.41210581814289704,0.17527072024477072,0.1670445298637955,0.5008028269962446,0.6770373578067254,0.7005835675127371,0.6149317925270196,0.4087479295263547,0.14972330795462696,0.5525043888278457,0.5446983154307643,0.5582935526780012,0.5313240242442443,0.5611830305059043,0.5594044164741693,1428.7089185253528,1487.4380934955475,0.620723865978828,0.6951645473731372,0.48936810662682856,0.05406008622285355,0.019512007438617703,0.40281555759304954,0.20163570270875197,0.19234120082122866,0.46056569605154685,0.5869309262166406,0.6492866043481493,0.6080863584577506,0.44710506884419926,0.1511901142335925,0.5209668795747964,0.4798680882609454,0.5292898382681664,0.5083333333333333,0.5641025641025641,0.45,1570.8252994075467,1519.3294979081961,0,2026-04-29,Madrid_Masters,Rafael_Jodar,Jannik_Sinner
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Clay,QF,3,0.6315513740487506,0.7278337028893094,0.47669946513454503,0.09267830012978683,0.03452523124691196,0.3214483032333672,0.22348760326631173,0.19813739740983535,0.38675928677826094,0.6590568760380081,0.6466159757385429,0.6260730528715559,0.3098169868166272,0.16090528084489636,0.492425372421759,0.47474256859009417,0.4532675310757103,0.4921150211192988,0.4759175939832078,0.46686438536512304,1455.3363438469253,1540.9568546356118,0.6214244485631888,0.7390827099748994,0.5319363321731391,0.07660822068574648,0.037618968165130745,0.3580312963513139,0.2238181695760973,0.21053912336215536,0.4065213537130348,0.613212846691707,0.6683927197157363,0.6177540057434763,0.3613816030389352,0.16936836255778887,0.48952960983959637,0.5080287019353913,0.507464910051942,0.5135075836389217,0.5572058179782122,0.5288202055511017,1549.110233136022,1516.4794489583787,0,2026-04-29,Madrid_Masters,Arthur_Fils,Jiri_Lehecka
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Clay,R16,3,0.6293257954634816,0.7616912811294966,0.5311525705091888,0.08653779237647904,0.030842667807350628,0.34236155928142953,0.18356995814581004,0.1649989223437102,0.4941075961342062,0.5855736942951972,0.6805495181691756,0.6200024569376394,0.33344850395695397,0.1477056789043439,0.5239899541725948,0.5051574783957388,0.5009657387270201,0.5053078891244278,0.4936526989777176,0.4640760552824978,1744.3628622179979,1712.4909275851537,0.655960722586576,0.7337395262864697,0.5485479416829107,0.07125214477454292,0.02585071620197383,0.3686559989664283,0.18067515857150185,0.15332317632190018,0.5335340231458581,0.6233989493859213,0.6773606477958269,0.6593221921408604,0.35703168797195606,0.1323560095813534,0.5287431102712904,0.5209853739583984,0.511973460284128,0.4960603125544125,0.5235753473667614,0.5181396061203754,1785.8030781398782,1767.0929196136087,0,2026-04-28,Madrid_Masters,Casper_Ruud,Stefanos_Tsitsipas
