match_id,player,Date,avg_srv_win_1_3,avg_srv_win_4_6,avg_srv_win_7plus,avg_ret_win_1_3,avg_ret_win_4_6,avg_ret_win_7plus
20171025-M-Basel-R32-Adrian_Mannarino-Ruben_Bemelmans,Adrian Mannarino,2017-10-25,0.4722222222222222,0.4362439362439362,0.45555555555555555,0.4674141124451319,0.5558732498157701,0.4723211932994541
20171031-M-Paris_Masters-R64-David_Ferrer-Adrian_Mannarino,Adrian Mannarino,2017-10-31,0.4715099715099715,0.4783292908292909,0.5565772669220945,0.4674141124451319,0.5558732498157701,0.4723211932994541
20171101-M-Paris_Masters-R32-David_Goffin-Adrian_Mannarino,Adrian Mannarino,2017-11-01,0.4715099715099715,0.4783292908292909,0.5565772669220945,0.5040950937042766,0.533120181298088,0.46625056706578444
20180426-M-Barcelona-R16-Pablo_Carreno_Busta-Adrian_Mannarino,Adrian Mannarino,2018-04-26,0.4715099715099715,0.4783292908292909,0.5565772669220945,0.5073710841789552,0.4992881977264035,0.4487504860563867
20180622-M-Queens_Club-QF-Novak_Djokovic-Adrian_Mannarino,Adrian Mannarino,2018-06-22,0.4715099715099715,0.4783292908292909,0.5565772669220945,0.5064496986565858,0.499377173010603,0.4482122308548939
20180709-M-Wimbledon-R16-Adrian_Mannarino-Roger_Federer,Adrian Mannarino,2018-07-09,0.4715099715099715,0.4783292908292909,0.5565772669220945,0.49563205537151056,0.4550019315649804,0.464383094093239
20181017-M-Moscow-R16-Marco_Cecchinato-Adrian_Mannarino,Adrian Mannarino,2018-10-17,0.44937715948354245,0.4472886347886348,0.5424329501915709,0.49563205537151056,0.4550019315649804,0.464383094093239
20181020-M-Moscow-SF-Adrian_Mannarino-Andreas_Seppi,Adrian Mannarino,2018-10-20,0.44937715948354245,0.4472886347886348,0.5424329501915709,0.5076073113728211,0.4787325076392516,0.48937335611248656
20190321-M-Miami_Masters-R64-Aljaz_Bedene-Adrian_Mannarino,Adrian Mannarino,2019-03-21,0.45816839425350064,0.46616424116424116,0.5558975796654518,0.5076073113728211,0.4787325076392516,0.48937335611248656
20190731-M-Washington-R32-Adrian_Mannarino-Norbert_Gombos,Adrian Mannarino,2019-07-31,0.45816839425350064,0.46616424116424116,0.5558975796654518,0.5141471425703332,0.4806659160356833,0.4903394146477151
20210302-M-Rotterdam-R32-Hubert_Hurkacz-Adrian_Mannarino,Adrian Mannarino,2021-03-02,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.5141471425703332,0.4806659160356833,0.4903394146477151
20210629-M-Wimbledon-R128-Roger_Federer-Adrian_Mannarino,Adrian Mannarino,2021-06-29,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.5074126584672499,0.478898711320998,0.49947779676040543
20220119-M-Australian_Open-R64-Hubert_Hurkacz-Adrian_Mannarino,Adrian Mannarino,2022-01-19,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.5089214560487713,0.4685855478506825,0.5037914705138785
20220121-M-Australian_Open-R32-Aslan_Karatsev-Adrian_Mannarino,Adrian Mannarino,2022-01-21,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.5116676678347613,0.4838956393805118,0.5043143019851094
20220122-M-Australian_Open-R16-Rafael_Nadal-Adrian_Mannarino,Adrian Mannarino,2022-01-22,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.5112444332415218,0.48584645640426716,0.5048813827074696
20220203-M-Montpellier-R16-David_Goffin-Adrian_Mannarino,Adrian Mannarino,2022-02-03,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.5083270892347929,0.4822667671647147,0.49506542672303544
20220212-M-Dallas-QF-Reilly_Opelka-Adrian_Mannarino,Adrian Mannarino,2022-02-12,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.5083194205334213,0.4913312888822984,0.4997674604452098
20220228-M-Acapulco-R32-Taylor_Fritz-Adrian_Mannarino,Adrian Mannarino,2022-02-28,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.5013884329390987,0.487844629976139,0.49052112005010556
20220311-M-Indian_Wells_Masters-R128-Brandon_Nakashima-Adrian_Mannarino,Adrian Mannarino,2022-03-11,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.49605219962651464,0.4895370178721316,0.4853809107241601
20220324-M-Miami_Masters-R128-Adrian_Mannarino-Nick_Kyrgios,Adrian Mannarino,2022-03-24,0.4669519227474825,0.4642277767277767,0.5438931443448657,0.48846270439928724,0.49184588126423934,0.4893169933930803
20220627-M-Wimbledon-R128-Adrian_Mannarino-Max_Purcell,Adrian Mannarino,2022-06-27,0.45951502192945304,0.46002132415175895,0.5564196876339451,0.48846270439928724,0.49184588126423934,0.4893169933930803
20220803-M-Washington-R32-Grigor_Dimitrov-Adrian_Mannarino,Adrian Mannarino,2022-08-03,0.46271920854470705,0.4717754153895458,0.5557078063898468,0.48846270439928724,0.49184588126423934,0.4893169933930803
20220825-M-Winston_Salem-QF-Maxime_Cressy-Adrian_Mannarino,Adrian Mannarino,2022-08-25,0.46271920854470705,0.4717754153895458,0.5557078063898468,0.49121668496581145,0.48231353771197394,0.4866511048188067
20220830-M-US_Open-R128-Gijs_Brouwer-Adrian_Mannarino,Adrian Mannarino,2022-08-30,0.46271920854470705,0.4717754153895458,0.5557078063898468,0.4946618497072905,0.48311746781597514,0.4893239884840675
20221007-M-Astana-QF-Andrey_Rublev-Adrian_Mannarino,Adrian Mannarino,2022-10-07,0.46271920854470705,0.4717754153895458,0.5557078063898468,0.4907217868522085,0.4871452985960448,0.4876142498543255
