match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Winner,p1_avg_first_serve_pct,p1_avg_first_serve_won_pct,p1_avg_second_serve_won_pct,p1_avg_ace_pct,p1_avg_df_pct,p1_avg_return_won_pct,p1_avg_winners_per_pt,p1_avg_ue_per_pt,p1_avg_winners_fh_ratio,p1_avg_bp_save_pct,p1_avg_bp_clutch_save_pct,p1_avg_bp_first_in_pct,p1_avg_bpo_conv_pct,p1_avg_bpo_ue_pct,p1_avg_srv_win_1_3,p1_avg_srv_win_4_6,p1_avg_srv_win_7plus,p1_avg_ret_win_1_3,p1_avg_ret_win_4_6,p1_avg_ret_win_7plus,p1_rating_before,p1_rating_surface_before,p1_Surface,p1_hand,p2_avg_first_serve_pct,p2_avg_first_serve_won_pct,p2_avg_second_serve_won_pct,p2_avg_ace_pct,p2_avg_df_pct,p2_avg_return_won_pct,p2_avg_winners_per_pt,p2_avg_ue_per_pt,p2_avg_winners_fh_ratio,p2_avg_bp_save_pct,p2_avg_bp_clutch_save_pct,p2_avg_bp_first_in_pct,p2_avg_bpo_conv_pct,p2_avg_bpo_ue_pct,p2_avg_srv_win_1_3,p2_avg_srv_win_4_6,p2_avg_srv_win_7plus,p2_avg_ret_win_1_3,p2_avg_ret_win_4_6,p2_avg_ret_win_7plus,p2_rating_before,p2_rating_surface_before,p2_Surface,p2_hand
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,R,R,2026-05-21,Roland Garros,Q3,,7,Clay,,3,A,stard54,2.0,0.5899815602834089,0.7373760166764851,0.518159479715669,0.1001309392936386,0.0324991873552971,0.37698972665026,0.1784454419625633,0.158710562883605,0.4726614929426943,0.6158651071151071,0.6575575043674219,0.5973533757999311,0.3813450099324255,0.1544793124068789,0.5311118328993156,0.5140867441525121,0.4701393754947804,0.4779738779738779,0.5485103132161956,0.5266861761426979,1560.6220973175073,1534.9472754584192,Clay,R,0.6248243488851947,0.7257183908045978,0.5607718107718108,0.0729810287339691,0.0108695652173913,0.3759991956624808,0.1422728429537127,0.1899295423565135,0.6428335644021919,0.6759259259259259,0.6441163003663003,0.674259768009768,0.405952380952381,0.1738095238095238,0.5005067567567567,0.525039745627981,0.5062611806797853,0.5503875968992248,0.5283018867924528,0.3571428571428571,1515.4332573577244,1500.0,Clay,R
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,R,R,2026-05-17,Rome Masters,F,5pm,Centre,Clay,Renaud Lichtenstein,3,1,Edo,2.0,0.6561367791731305,0.7342466559797121,0.549426176921294,0.0712813656704951,0.0258104611892261,0.3685728861268519,0.1804720006119937,0.153185650431315,0.5334999625223783,0.6245762897233486,0.6786357749855388,0.659647420082546,0.3565800315602046,0.1322995066698889,0.5287979512194189,0.5209784832314166,0.5123267927296936,0.4960603125544125,0.5235753473667614,0.5181396061203754,1756.8769404055831,1735.4299676845244,Clay,R,0.608739057961078,0.7719348360713015,0.565164724891038,0.0883392754670356,0.0259246364403153,0.4126839443625211,0.1765648025474951,0.1668692802820229,0.4990608135022708,0.6782700396471577,0.7019944413871666,0.6151700355599057,0.4095511890942959,0.1496329156209768,0.5536124800981052,0.5453706361665615,0.5588282792785878,0.5314731043234022,0.5626145416446895,0.5598829458231411,2045.2885267211616,1816.5414063445603,Clay,R
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,Learner Tien,R,L,2026-05-11,Rome Masters,R16,,,Clay,,3,1,stard54,1.0,0.6263359782825503,0.685951252993809,0.4859197984831069,0.0556637600519733,0.0188660766273253,0.3922463076040782,0.2005709557558296,0.1959883521648596,0.4592001589423711,0.6107867826617827,0.6570047594205772,0.6238545408513338,0.4304597608945435,0.1554122336731032,0.5138817339136612,0.4764321962759463,0.4981286084846456,0.5083333333333333,0.5641025641025641,0.45,1558.9148976876586,1531.028549765716,Clay,R,0.6377668294021972,0.6966822693353744,0.5303082279941983,0.063510770072728,0.0424481694039378,0.3852867885371973,0.1597068493091368,0.1813070550815141,0.5338744966169569,0.5312898463274403,0.6501695506767953,0.6400570757202999,0.3776638924101798,0.1277731072670254,0.4896258414315571,0.4958983167710666,0.5541695946631428,0.4842076244649105,0.5643217366994514,0.5412195221338973,1599.8971497843577,1500.0,Clay,L
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,Tomas Machac,R,R,2026-05-07,Rome Masters,R128,4:35 PM,Paribas,Clay,R. Lichtenstein,3,1,BG,2.0,0.6291926853326731,0.7615290725042523,0.5310857593149574,0.0863167642313176,0.0308302362823199,0.3417418912400535,0.1834850169825982,0.1652115763679665,0.4953015645811356,0.5873348271269604,0.6807442353925166,0.6201487903551264,0.3323112896513555,0.1476813144015941,0.5239899541725948,0.5051574783957388,0.5009657387270201,0.5043971661901216,0.4933559011738541,0.4634983149502696,1545.3731351327503,1636.4645103547612,Clay,R,0.616675912294435,0.7014154779254621,0.5302570040921111,0.0735791783353348,0.0346474613345737,0.3527826292578865,0.2007257789615986,0.1872554784320403,0.4192705260641054,0.6203978120644786,0.6499751756301078,0.629072633893537,0.3584704541574493,0.138427311483341,0.5022848485087292,0.5250707775122232,0.518229955407356,0.4849386493016963,0.4958677304752303,0.52858938324352,1615.815161808366,1507.718115486777,Clay,R
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Jannik Sinner,Alexander Zverev,R,R,2026-05-03,Madrid Masters,F,,,Clay,,3,1,Ludo,1.0,0.6082819369928452,0.7713955152350733,0.5653856222635499,0.0879433807902181,0.0259255978328552,0.4122426792828783,0.1758806887311193,0.1672058962573262,0.4997840220710436,0.6782700396471577,0.7013232361037333,0.6152214594092613,0.4085666168539376,0.1501401458434208,0.5525043888278457,0.5446983154307643,0.5582935526780012,0.5314731043234022,0.5626145416446895,0.5598829458231411,2041.227730093889,1805.683615691523,Clay,R,0.6913983048814324,0.7459108943684116,0.5080586894034682,0.109250607496865,0.041210527237385,0.3580119455424541,0.1909842358356389,0.171704638916208,0.3755738087430933,0.5818794096892836,0.6812466367367068,0.7038091937870816,0.3476122553436672,0.1545269662936331,0.5293691713859129,0.4981254626391769,0.4847686312400983,0.5119923698206409,0.5209916216887718,0.4974925750719677,1706.186618390533,1689.9200537003403,Clay,R
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,Jannik Sinner,R,R,2026-05-01,Madrid Masters,SF,,,Clay,,3,1,Ludo,2.0,0.6219889834896726,0.7407937266005221,0.5322786397583915,0.0760448529809763,0.0376206620910941,0.3578591593919303,0.2237490311626411,0.2098342775439322,0.4044104582275907,0.613212846691707,0.6731986223285518,0.6196706143558897,0.3614836240475242,0.1684393016206432,0.4917871694103087,0.5070198718068858,0.5078130617685966,0.5135075836389217,0.5572058179782122,0.5288202055511017,1744.7738676742265,1704.6413030846925,Clay,R,0.6085763002804576,0.77104311902839,0.5649895931494185,0.0879467374536571,0.0259398375178827,0.412195105034872,0.1756206351261294,0.1671070670532933,0.5004761571927264,0.6782700396471577,0.7005907754555601,0.6150464757111068,0.4083142630993943,0.1500643851384547,0.5525043888278457,0.5446983154307643,0.5582935526780012,0.5313534890863251,0.5610919970637106,0.5604822391823964,2036.190188088867,1793.6972758095287,Clay,R
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,Flavio Cobolli,R,R,2026-04-30,Madrid Masters,QF,9pm,Santana,Clay,Adel Nour,3,1,Edo,1.0,0.6910946691554294,0.7455243558909794,0.5082997268535461,0.1086209773244693,0.0412247707025449,0.3574433963717731,0.1909284319489587,0.1715943911585699,0.3757175793222982,0.5793756935796387,0.6806858748326974,0.7036380388053404,0.3476322670293857,0.1538703702640665,0.5270420951947137,0.4984972420705108,0.4852166871368231,0.5119923698206409,0.5209916216887718,0.4974925750719677,1697.968621035502,1681.2793993097891,Clay,R,0.5760926306179399,0.6868186242397727,0.4747052061993412,0.0541339286485697,0.0344144457141786,0.3109576436727484,0.1541756893306345,0.2053952288591831,0.5127000307455452,0.5469602035391509,0.6099672873680904,0.5596762434740694,0.3046432054992113,0.1612888877423889,0.4843047737128816,0.4727031121305835,0.4066194581280788,0.4525220629846472,0.4275880339472026,0.5267594644999084,1513.37565066402,1508.5137842270722,Clay,R
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,Jannik Sinner,R,R,2026-04-29,Madrid Masters,QF,,Santana,Clay,,3,1,Ludo,2.0,0.620723865978828,0.6951645473731372,0.4893681066268285,0.0540600862228535,0.0195120074386177,0.4028155575930495,0.2016357027087519,0.1923412008212286,0.4605656960515468,0.5869309262166406,0.6492866043481493,0.6080863584577506,0.4471050688441992,0.1511901142335925,0.5209668795747964,0.4798680882609454,0.5292898382681664,0.5083333333333333,0.5641025641025641,0.45,1560.8838144464316,1537.1502544239584,Clay,R,0.6084217956607795,0.7711985897551816,0.5647689786904416,0.0879843608684373,0.0259408573536399,0.412105818142897,0.1752707202447707,0.1670445298637955,0.5008028269962446,0.6770373578067254,0.7005835675127371,0.6149317925270196,0.4087479295263547,0.1497233079546269,0.5525043888278457,0.5446983154307643,0.5582935526780012,0.5313240242442443,0.5611830305059043,0.5594044164741693,2034.221271330094,1787.5755711512863,Clay,R
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,Jiri Lehecka,R,R,2026-04-29,Madrid Masters,QF,,,Clay,,3,1,Ludo,1.0,0.6214244485631888,0.7390827099748994,0.5319363321731391,0.0766082206857464,0.0376189681651307,0.3580312963513139,0.2238181695760973,0.2105391233621553,0.4065213537130348,0.613212846691707,0.6683927197157363,0.6177540057434763,0.3613816030389352,0.1693683625577888,0.4895296098395963,0.5080287019353913,0.507464910051942,0.5135075836389217,0.5572058179782122,0.5288202055511017,1734.8385597822498,1697.944819151694,Clay,R,0.6315513740487506,0.7278337028893094,0.476699465134545,0.0926783001297868,0.0345252312469119,0.3214483032333672,0.2234876032663117,0.1981373974098353,0.3867592867782609,0.6590568760380081,0.6466159757385429,0.6260730528715559,0.3098169868166272,0.1609052808448963,0.492425372421759,0.4747425685900941,0.4532675310757103,0.4921150211192988,0.4759175939832078,0.466864385365123,1596.2319432400072,1467.0112023965864,Clay,R
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,Stefanos Tsitsipas,R,R,2026-04-28,Madrid Masters,R16,14:30,Arantxa Sanchez,Clay,Mohamed Lahyani,3,1,Julie DL,1.0,0.655960722586576,0.7337395262864697,0.5485479416829107,0.0712521447745429,0.0258507162019738,0.3686559989664283,0.1806751585715018,0.1533231763219001,0.5335340231458581,0.6233989493859213,0.6773606477958269,0.6593221921408604,0.357031687971956,0.1323560095813534,0.5287431102712904,0.5209853739583984,0.511973460284128,0.4960603125544125,0.5235753473667614,0.5181396061203754,1749.0483230381496,1722.771723412405,Clay,R,0.6293257954634816,0.7616912811294966,0.5311525705091888,0.086537792376479,0.0308426678073506,0.3423615592814295,0.18356995814581,0.1649989223437102,0.4941075961342062,0.5855736942951972,0.6805495181691756,0.6200024569376394,0.3334485039569539,0.1477056789043439,0.5239899541725948,0.5051574783957388,0.5009657387270201,0.5053078891244278,0.4936526989777176,0.4640760552824978,1553.2017525001838,1649.1227546268806,Clay,R
