match_id,Winner
19840706-M-Wimbledon-SF-Pat_Cash-John_Mcenroe,2
19840708-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,1
19840713-M-Davis_Cup_EUR_SF-RR-Henri_Leconte-Ivan_Lendl,1
19840908-M-US_Open-SF-John_Mcenroe-Jimmy_Connors,1
19840908-M-US_Open-SF-Pat_Cash-Ivan_Lendl,2
19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,1
19841209-M-Australian_Open-F-Mats_Wilander-Kevin_Curren,1
19850106-M-Young_Masters-F-Boris_Becker-Stefan_Edberg,1
19850108-M-Tour_Finals-F-Ivan_Lendl-John_Mcenroe,2
19850406-M-Monte_Carlo_Masters-SF-Henrik_Sundstrom-Ivan_Lendl,2
19850414-M-Dallas_WCT-F-Ivan_Lendl-Tim_Mayotte,1
19850519-M-Rome-F-Miloslav_Mecir-Yannick_Noah,2
19850520-M-Dusseldorf-RR-Henri_Leconte-Ivan_Lendl,1
19850527-M-Roland_Garros-QF-Ivan_Lendl-Martin_Jaite,1
19850608-M-Roland_Garros-SF-Jimmy_Connors-Ivan_Lendl,2
19850608-M-Roland_Garros-SF-John_Mcenroe-Mats_Wilander,2
19850609-M-Roland_Garros-F-Mats_Wilander-Ivan_Lendl,1
19850629-M-Wimbledon-R32-Joakim_Nystrom-Boris_Becker,2
19850701-M-Wimbledon-R16-Boris_Becker-Tim_Mayotte,1
19850703-M-Wimbledon-QF-Boris_Becker-Henri_Leconte,1
19850703-M-Wimbledon-QF-John_Mcenroe-Kevin_Curren,2
19850705-M-Wimbledon-SF-Anders_Jarryd-Boris_Becker,2
19850705-M-Wimbledon-SF-Kevin_Curren-Jimmy_Connors,1
19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,1
19850728-M-Indianapolis-SF-Ivan_Lendl-Boris_Becker,1
19850818-M-Canada_Masters-F-John_Mcenroe-Ivan_Lendl,1
19850825-M-Cincinnati-F-Mats_Wilander-Boris_Becker,2
19850907-M-US_Open-SF-Ivan_Lendl-Jimmy_Connors,1
19850907-M-US_Open-SF-Mats_Wilander-John_Mcenroe,2
19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,2
19851004-M-Davis_Cup_World_Group_SF-RR-Boris_Becker-Libor_Pimek,1
19851027-M-Tokyo_Indoor-F-Mats_Wilander-Ivan_Lendl,2
19851103-M-Antwerp-F-John_Mcenroe-Ivan_Lendl,2
19851117-M-Wembley-F-Boris_Becker-Ivan_Lendl,2
19851202-M-Australian_Open-R16-Henri_Leconte-John_Mcenroe,2
19851206-M-Australian_Open-SF-Mats_Wilander-Slobodan_Zivojinovic,1
19851207-M-Australian_Open-SF-Stefan_Edberg-Ivan_Lendl,1
19851208-M-Australian_Open-F-Stefan_Edberg-Mats_Wilander,1
19851222-M-Davis_Cup_World_Group_F-RR-Boris_Becker-Stefan_Edberg,1
19851222-M-Davis_Cup_World_Group_F-RR-Michael_Westphal-Stefan_Edberg,2
19851227-M-Suntory_Cup-F-John_Mcenroe-Ivan_Lendl,2
19860114-M-Tour_Finals-F-Boris_Becker-Ivan_Lendl,2
19860330-M-Chicago-F-Boris_Becker-Ivan_Lendl,1
19860413-M-Dallas_WCT-SF-Boris_Becker-Stefan_Edberg,1
19860518-M-Rome_Masters-F-Emilio_Sanchez-Ivan_Lendl,2
19860606-M-Roland_Garros-SF-Henri_Leconte-Mikael_Pernfors,2
19860607-M-Roland_Garros-SF-Johan_Kriek-Ivan_Lendl,2
19860608-M-Roland_Garros-F-Mikael_Pernfors-Ivan_Lendl,2
19860624-M-Wimbledon-R128-Guillermo_Vilas-Pat_Cash,2
19860704-M-Wimbledon-SF-Henri_Leconte-Boris_Becker,2
19860704-M-Wimbledon-SF-Ivan_Lendl-Slobodan_Zivojinovic,1
19860706-M-Wimbledon-F-Boris_Becker-Ivan_Lendl,1
19860810-M-Stratton_Mountain-F-Boris_Becker-Ivan_Lendl,2
19860817-M-Canada_Masters-F-Stefan_Edberg-Boris_Becker,2
19860826-M-US_Open-R128-John_Mcenroe-Paul_Annacone,2
19860904-M-US_Open-QF-Henri_Leconte-Ivan_Lendl,2
19860906-M-US_Open-SF-Miloslav_Mecir-Boris_Becker,1
19860906-M-US_Open-SF-Stefan_Edberg-Ivan_Lendl,2
19860907-M-US_Open-F-Miloslav_Mecir-Ivan_Lendl,2
19861026-M-Tokyo_Indoor-F-Stefan_Edberg-Boris_Becker,2
19861102-M-Paris_Masters-F-Sergio_Casal-Boris_Becker,2
19861109-M-Stockholm-F-Mats_Wilander-Stefan_Edberg,2
19861206-M-Tour_Finals-SF-Stefan_Edberg-Boris_Becker,2
19861207-M-Tour_Finals-F-Boris_Becker-Ivan_Lendl,2
19870123-M-Australian_Open-SF-Pat_Cash-Ivan_Lendl,1
19870123-M-Australian_Open-SF-Wally_Masur-Stefan_Edberg,2
19870125-M-Australian_Open-F-Stefan_Edberg-Pat_Cash,1
19870222-M-Indian_Wells-F-Stefan_Edberg-Boris_Becker,2
19870306-M-Key_Biscayne-SF-Jimmy_Connors-Ivan_Lendl,2
19870503-M-Hamburg-F-Miloslav_Mecir-Ivan_Lendl,2
19870513-M-Rome-R32-Paolo_Cane-Jonas_Svensson,1
